pump,start_time,end_time,elapsed_time_ms,flowrate,volume,total_volume,pulse_count
AQUATEC_PUMP,1747781984,1747782014,30000.08,3.408,1.704,1437.155,903
CHARLES_AUSTEN_PUMP,1747782024,1747782054,30000.10,0.836,0.418,1437.573,289
AQUATEC_PUMP,1747782064,1747782094,30000.05,3.400,1.700,1439.273,901
CHARLES_AUSTEN_PUMP,1747782104,1747782134,30000.10,0.848,0.424,1439.697,293
AQUATEC_PUMP,1747782144,1747782174,30000.09,3.404,1.702,1441.399,902
CHARLES_AUSTEN_PUMP,1747782184,1747782214,30000.09,0.836,0.418,1441.817,289
AQUATEC_PUMP,1747782224,1747782254,30000.06,3.279,1.640,1443.457,869
CHARLES_AUSTEN_PUMP,1747782264,1747782294,30000.06,0.828,0.414,1443.871,286
AQUATEC_PUMP,1747782304,1747782334,30000.09,3.404,1.702,1445.572,902
CHARLES_AUSTEN_PUMP,1747782344,1747782374,30000.09,0.842,0.421,1445.994,291
AQUATEC_PUMP,1747782384,1747782414,30000.10,3.396,1.698,1447.692,900
CHARLES_AUSTEN_PUMP,1747782424,1747782454,30000.09,0.839,0.420,1448.111,290
AQUATEC_PUMP,1747782464,1747782494,30000.09,3.400,1.700,1449.811,901
CHARLES_AUSTEN_PUMP,1747782504,1747782534,30000.10,0.842,0.421,1450.233,291
AQUATEC_PUMP,1747782544,1747782574,30000.09,3.347,1.674,1451.906,887
CHARLES_AUSTEN_PUMP,1747782584,1747782614,30000.08,0.839,0.420,1452.326,290
AQUATEC_PUMP,1747782624,1747782654,30000.09,3.411,1.706,1454.031,904
CHARLES_AUSTEN_PUMP,1747782664,1747782694,30000.09,0.836,0.418,1454.450,289
AQUATEC_PUMP,1747782704,1747782734,30000.09,3.298,1.649,1456.099,874
CHARLES_AUSTEN_PUMP,1747782744,1747782774,30000.09,0.836,0.418,1456.517,289
AQUATEC_PUMP,1747782784,1747782814,30000.12,3.419,1.709,1458.226,906
CHARLES_AUSTEN_PUMP,1747782824,1747782854,30000.09,0.845,0.423,1458.649,292
AQUATEC_PUMP,1747782864,1747782894,30000.08,3.408,1.704,1460.353,903
CHARLES_AUSTEN_PUMP,1747782904,1747782934,30000.08,0.848,0.424,1460.777,293
AQUATEC_PUMP,1747782944,1747782974,30000.09,3.302,1.651,1462.428,875
CHARLES_AUSTEN_PUMP,1747782984,1747783014,30000.09,0.839,0.420,1462.847,290
AQUATEC_PUMP,1747783024,1747783054,30000.10,3.411,1.706,1464.553,904
CHARLES_AUSTEN_PUMP,1747783064,1747783094,30000.09,0.839,0.420,1464.973,290
AQUATEC_PUMP,1747783104,1747783134,30000.10,3.306,1.653,1466.626,876
CHARLES_AUSTEN_PUMP,1747783144,1747783174,30000.10,0.845,0.423,1467.048,292
AQUATEC_PUMP,1747783184,1747783214,30000.09,3.385,1.692,1468.741,897
CHARLES_AUSTEN_PUMP,1747783224,1747783254,30000.11,0.834,0.417,1469.157,288
AQUATEC_PUMP,1747783264,1747783294,30000.09,3.253,1.626,1470.784,862
CHARLES_AUSTEN_PUMP,1747783304,1747783334,30000.09,0.834,0.417,1471.201,288
AQUATEC_PUMP,1747783344,1747783374,30000.09,3.298,1.649,1472.850,874
CHARLES_AUSTEN_PUMP,1747783384,1747783414,30000.11,0.834,0.417,1473.266,288
AQUATEC_PUMP,1747783424,1747783454,30000.11,3.298,1.649,1474.916,874
CHARLES_AUSTEN_PUMP,1747783464,1747783494,30000.09,0.836,0.418,1475.334,289
AQUATEC_PUMP,1747783504,1747783534,30000.09,3.347,1.674,1477.007,887
CHARLES_AUSTEN_PUMP,1747783544,1747783574,30000.09,0.839,0.420,1477.427,290
AQUATEC_PUMP,1747783584,1747783614,30000.10,3.358,1.679,1479.106,890
CHARLES_AUSTEN_PUMP,1747783624,1747783654,30000.09,0.825,0.412,1479.519,285
AQUATEC_PUMP,1747783664,1747783694,30000.09,3.408,1.704,1481.222,903
CHARLES_AUSTEN_PUMP,1747783704,1747783734,30000.09,0.828,0.414,1481.636,286
AQUATEC_PUMP,1747783744,1747783774,30000.09,3.404,1.702,1483.338,902
CHARLES_AUSTEN_PUMP,1747783784,1747783814,30000.09,0.845,0.423,1483.761,292
AQUATEC_PUMP,1747783824,1747783854,30000.09,3.408,1.704,1485.465,903
CHARLES_AUSTEN_PUMP,1747783864,1747783894,30000.11,0.851,0.425,1485.890,294
AQUATEC_PUMP,1747783904,1747783934,30000.10,3.408,1.704,1487.594,903
CHARLES_AUSTEN_PUMP,1747783944,1747783974,30000.10,0.851,0.425,1488.019,294
AQUATEC_PUMP,1747783984,1747784014,30000.08,3.415,1.708,1489.727,905
CHARLES_AUSTEN_PUMP,1747784024,1747784054,30000.09,0.842,0.421,1490.148,291
AQUATEC_PUMP,1747784064,1747784094,30000.09,3.370,1.685,1491.833,893
CHARLES_AUSTEN_PUMP,1747784104,1747784134,30000.09,0.842,0.421,1492.254,291
AQUATEC_PUMP,1747784144,1747784174,30000.11,3.294,1.647,1493.901,873
CHARLES_AUSTEN_PUMP,1747784184,1747784214,30000.11,0.845,0.423,1494.324,292
AQUATEC_PUMP,1747784224,1747784254,30000.06,3.355,1.677,1496.001,889
CHARLES_AUSTEN_PUMP,1747784264,1747784294,30000.10,0.857,0.428,1496.429,296
AQUATEC_PUMP,1747784304,1747784334,30000.09,3.411,1.706,1498.135,904
CHARLES_AUSTEN_PUMP,1747784344,1747784374,30000.14,0.848,0.424,1498.559,293
AQUATEC_PUMP,1747784384,1747784414,30000.09,3.358,1.679,1500.238,890
CHARLES_AUSTEN_PUMP,1747784424,1747784454,30000.09,0.834,0.417,1500.655,288
AQUATEC_PUMP,1747784464,1747784494,30000.09,3.404,1.702,1502.357,902
CHARLES_AUSTEN_PUMP,1747784504,1747784534,30000.09,0.839,0.420,1502.777,290
AQUATEC_PUMP,1747784544,1747784574,30000.08,3.377,1.689,1504.465,895
CHARLES_AUSTEN_PUMP,1747784584,1747784614,30000.09,0.836,0.418,1504.884,289
AQUATEC_PUMP,1747784624,1747784654,30000.10,3.419,1.709,1506.593,906
CHARLES_AUSTEN_PUMP,1747784664,1747784694,30000.10,0.845,0.423,1507.016,292
AQUATEC_PUMP,1747784704,1747784734,30000.09,3.419,1.709,1508.725,906
CHARLES_AUSTEN_PUMP,1747784744,1747784774,30000.10,0.848,0.424,1509.149,293
AQUATEC_PUMP,1747784784,1747784814,30000.10,3.423,1.711,1510.860,907
CHARLES_AUSTEN_PUMP,1747784824,1747784854,30000.10,0.842,0.421,1511.282,291
AQUATEC_PUMP,1747784864,1747784894,30000.09,3.358,1.679,1512.961,890
